undefinedid,name,crossStreets,phone,address,city,state,zip,location,sub_location,brand,lat,lng
49657,1 Brooklyn Bridge,Near Pier 1,(877) 803-1111,60 Furman Street,Brooklyn,NY,11201,Brooklyn,Brooklyn,,40.70229,-73.99558
64409,1 Hotel Central Park,,(305) 604-1000,1414 Avenue of the Americas,New York,NY,10019,,,,40.76476,-73.97654
28610,11 Howard,Lafayette St btwn Canal and Howard,(212) 235-1111,11 Howard Street,New York,NY,10013,Manhattan,Between Canal and 14th,InterContinental,40.71916,-74.00026
64414,50 Bowery,,(212) 508-8000,50 Bowery,New York,NY,10013,,,,40.71605,-73.9971
28529,50 NYC,East 50th St btwn Lexington and Third Ave,(212) 751-5710,155 East 50th Street,New York,NY,10022,Manhattan,Midtown East - Between 34th and 59th on East Side,Denihan,40.75609,-73.97108
28506,6 Columbus,Columbus Circle at Eighth Ave,(212) 204-3000,6 Columbus Circle,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,Thompson,40.76757,-73.98318
28620,Ace,,(212) 679-2222,20 West 29th Street,New York,NY,10001,Manhattan,Between 14th and 34th,,40.74574,-73.98826
28471,Affinia Gardens,East 64th St btwn Second and Third Avenue,(212) 355-1230,215 East 64th Street,New York,NY,10065,Manhattan,Upper East Side - Above 59th on East Side,Denihan,40.76442,-73.96303
28575,Affinia Shelburne,Lexington Avenue btwn East 37th and 38th St,(212) 689-5200,303 Lexington Avenue,New York,NY,10016,Manhattan,Midtown East - Between 34th and 59th on East Side,Denihan,40.74844,-73.97804
64384,AKA Tribeca,On West Broadway between Chambers St./Warren St.,(212) 587-7000,85 West Broadway,New York,NY,10007,,,,40.71522,-74.00913
28633,Algonquin,West 44th St btwn Fifth and Sixth Ave,(212) 840-6800,59 West 44th Street,New York,NY,10036,Manhattan,Upper East Side - Above 59th on East Side,Marriott,40.75601,-73.98228
28635,Aloft Harlem,,(212) 749-4000,2296 Frederick Douglass Boulevard,New York,NY,10027,Manhattan,Upper West Side - Above 59th on West Side,Starwood,40.80913,-73.95146
28567,Americana Inn,West 38th St btwn Fifth and Sixth Ave,(212) 840-2019,69 West 38th Street,New York,NY,10018,Manhattan,Midtown West - Between 34th and 59th on West Side,Empire,40.75229,-73.98555
28540,Andaz 5th Avenue,,(212) 601-1234,485 5th Avenue,New York,NY,10017,Manhattan,Midtown East - Between 34th and 59th on East Side,Hyatt,40.75283,-73.98095
28618,Andaz Wall Street,,(212) 590-1234,75 Wall Street,New York,NY,10005,Manhattan,Below Canal,Hyatt,40.70517,-74.00802
28462,Arthouse,Broadway btwn West 77th and 78th St,(212) 362-1100,2178 Broadway,New York,NY,10024,Manhattan,Upper West Side - Above 59th on West Side,,40.78222,-73.98059
28589,Avalon,East 32nd St btwn Fifth and Madison Ave,(212) 299-7000,16 East 32nd Street,New York,NY,10016,Manhattan,Between 14th and 34th,,40.74657,-73.98461
49653,Baccarat,,(212) 790-8800,28 West 53rd Street,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,Starwood,40.7609,-73.97738
28476,Beacon,Broadway btwn 74th and 75th street,(212) 787-1100,2130 Broadway,New York,NY,10023,Manhattan,Upper West Side - Above 59th on West Side,,40.78069,-73.98104
57049,Beekman,,(212) 233-2300,123 Nassau Street,New York,NY,10038,Manhattan,Below Canal,,40.71117,-74.0067
28527,Belleclaire,West 77th St btwn Broadway and West End Avenue,(212) 362-7700,250 West 77th Street,New York,NY,10024,Manhattan,Upper West Side - Above 59th on West Side,,40.78247,-73.98133
28553,Belvedere,West 48th St btwn Eighth and Ninth Ave,(212) 245-7000,319 West 48th Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,Empire,40.76175,-73.98819
28528,Benjamin,East 50th St btwn Second and Third Ave,(212) 715-2500,125 East 50th Street,New York,NY,10022,Manhattan,Midtown East - Between 34th and 59th on East Side,,40.75664,-73.97196
28433,Best Western Albany Airport,,(518) 458-1000,200 Wolf Road,Albany,NY,12203,New York State Capital Region,Albany,Best Western,42.72503,-73.80018
28611,Best Western Bowery Hanbee,,(212) 925-1177,231 Grand Street,New York,NY,10013,Manhattan,Between Canal and 14th,Best Western,40.71842,-73.99518
64381,Bowery,Bowery btwn East 3rd and 2nd St,(212) 505-9100,335 Bowery,New York,NY,10003,,,,40.72602,-73.99147
28642,Cachet Boutique,,(212) 947-2999,510 West 42nd Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.75977,-73.99646
28625,Candlewood Suites Jersey City,,(201) 659-2500,21 Second Street,Jersey City,NJ,7302,New Jersey,Northern New Jersey,,40.72095,-74.03437
64378,Candlewood Suites Nanuet Rockland County,,(845) 371-4445,20 Overlook Boulevard,Nanuet,NY,10954,,,,41.10688,-74.0273
28626,Candlewood Suites Parsippany Morris Plains,,(973) 984-9960,100 Candlewood Dr,Morris Plains,NJ,7950,New Jersey,Northern New Jersey,JW Marriot,40.84741,-74.47221
28467,Carlyle,East 76th St btwn Park and Madison Ave,(212) 744-1600,35 East 76th Street,New York,NY,10021,Manhattan,Upper East Side - Above 59th on East Side,,40.77442,-73.96316
57060,Cassa Times Square Hotel &amp; Residences,,(212) 920-2020,515 9th Avenue,New York,NY,10018,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.7565,-73.99449
64390,Centerplate,,(518) 584-6200,267 Union Avenue,Saratoga Springs,NY,12866,,,,43.07397,-73.76798
28622,Chatwal,,(212) 764-6200,130 West 44th St,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.75648,-73.98457
64319,Chelsea,West 23rd St btwn Seventh and Eighth Ave,(212) 243-3700,222 West 23rd Street,New York,NY,10011,,,,40.74433,-73.99687
38767,Concorde,,(212) 355-2755,127 East 55th Street,New York,NY,10022,Manhattan,Midtown East - Between 34th and 59th on East Side,,40.76001,-73.97041
28492,Conrad Midtown,West 54th St btwn Sixth and Seventh Ave,(212) 307-5000,151 West 54th Street,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.76344,-73.98054
28616,Conrad New York,North End Ave at Vesey St,(212) 945-0100,102 North End Avenue,New York,NY,10282,Manhattan,Below Canal,Hilton,40.71505,-74.01556
28629,Courtyard by Marriott Herald Square,,(212) 239-4569,71 West 35th St,New York,NY,10001,Manhattan,Midtown East - Between 34th and 59th on East Side,,40.75039,-73.98681
28582,Courtyard Fifth Avenue,East 40th St btwn Madison and Fifth Ave,(212) 447-1500,3 East 40th Street,New York,NY,10016,Manhattan,Midtown East - Between 34th and 59th on East Side,Marriott,40.75208,-73.98109
28631,Courtyard Marriott Chelsea,,(212) 967-6000,135 W 30th St,New York,NY,10001,Manhattan,Between 14th and 34th,Marriott,40.7482,-73.99123
49661,Courtyard Midtown East,Third Avenue btwn East 52nd and East 53rd St,(212) 644-1300,866 Third Avenue,New York,NY,10022,Manhattan,Midtown East - Between 34th and 59th on East Side,,40.75744,-73.96989
32253,Courtyard Newark Downtown,,(973) 848-0070,858 Broad Street,Newark,NJ,7102,New Jersey,Northern New Jersey,,40.73351,-74.17294
57048,Courtyard Newark Elizabeth,,(908) 436-9800,87 Glimcher Realty Way,Elizabeth,NJ,7201,New Jersey,Northern New Jersey,,40.66283,-74.17835
32250,Courtyard Newark Liberty International Airport,,(973) 643-8500,600 U.S. 1 &amp; 9,Newark,NJ,7114,New Jersey,Northern New Jersey,,40.70913,-74.17259
28555,Courtyard Times Square South,West 40th St btwn Sixth Ave and Broadway,(212) 391-0088,114 West 40th Street,New York,NY,10018,Manhattan,Midtown West - Between 34th and 59th on West Side,Marriott,40.75356,-73.98623
28465,Courtyard Upper East Side,East 92nd St btwn 1 Ave and FDR Drive,(212) 410-6777,410 East 92nd Street,New York,NY,10128,Manhattan,Upper East Side - Above 59th on East Side,Marriott,40.78017,-73.94592
28643,Courtyard/Residence Inn Central Park,,(212) 324-3773,1717 Broadway,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.76443,-73.98276
64418,Crowne Plaza HY36 Midtown Manhattan,,(646) 928-3800,320 West 36th Street,New York,NY,10018,,,,40.75377,-73.99375
28485,Crowne Plaza Times Square,Broadway btwn 48th and 49th streets,(212) 977-4000,1605 Broadway,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,InterContinental,40.76063,-73.98525
64373,Del Lago Resort and Casino,,(315) 946-1777,1133 Route 414,Waterloo,NY,13165,,,,42.96945,-76.84599
64399,Delta Hotels by Marriott Woodbridge,,(732) 634-3600,515 US Hwy 1 S,Iselin,NJ,8830,,,,40.55716,-74.31123
28430,Desmond Hotel &amp; Conference Center,,(518) 869-8100,660 Albany Shaker Road,Albany,NY,12211,New York State Capital Region,Albany,,42.72814,-73.79908
28612,Dominick,,(212) 842-5500,246 Spring Street,New York,NY,10013,Manhattan,Between Canal and 14th,,40.7253,-74.00552
28453,DoubleTree by Hilton Newark Penn Station,,(973) 622-5000,Gateway Center - 1048 Raymond Blvd,Newark,NJ,7102,New Jersey,Northern New Jersey,Hilton,40.73542,-74.16537
28548,Doubletree Guest Suites Times Square,Broadway btwn West 46th and 47th St,(212) 719-1600,1568 Broadway,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,Hilton,40.75891,-73.98442
57052,Doubletree Jersey City,,(201) 499-2400,455 Washington Blvd,Jersey City,NJ,7310,New Jersey,Northern New Jersey,,40.72366,-74.03658
28515,Doubletree Metropolitan,Lexington Ave btwn East 50th and 51st St,(212) 752-7000,569 Lexington Avenue,New York,NY,10022,Manhattan,Midtown East - Between 34th and 59th on East Side,Hilton,40.75692,-73.97186
38769,Dream Downtown,,(212) 229-2559,355 West 16th Street,New York,NY,10011,Manhattan,Between 14th and 34th,Wyndham,40.74233,-74.00348
28500,Dream Midtown,West 55th St btwn Broadway and Seventh Ave,(212) 247-2000,210 West 55th Street,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,Wyndham,40.7644,-73.98195
28543,Edison,West 47th St btwn Seventh and Eighth Ave,(212) 840-5000,228 West 47th Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.75974,-73.98615
28536,Elysee,East 54th Street btwn Park and Madison Ave,(212) 753-1066,60 East 54th Street,New York,NY,10022,Manhattan,Midtown East - Between 34th and 59th on East Side,,40.75989,-73.97321
28647,Embassy Suites Parsippany,,(973) 334-1440,909 Parsippany Boulevard,Parsippany,NJ,7054,New Jersey,Northern New Jersey,,40.87388,-74.42206
28648,Embassy Suites Secaucus - Meadowlands,,(201) 864-7300,455 Plaza Drive,Secaucus,NJ,7094,New Jersey,Northern New Jersey,,40.78837,-74.04333
28480,Empire,West 63rd St btwn Broadway and Columbus Ave,(212) 265-7400,44 West 63rd Street,New York,NY,10023,Manhattan,Upper West Side - Above 59th on West Side,,40.77137,-73.98268
64417,Empire City Casino at Yonkers Raceway,,(914) 968-4200,810 Yonkers Avenue,Yonkers,NY,10704,,,,40.91942,-73.86473
57059,EnVue Port Imperial Weehawken,,,550 Avenue at Port Imperial,Weehawken,NJ,7086,New Jersey,Northern New Jersey,,40.77725,-74.01089
64431,Equinox,Hudson Yards,,35 Hudson Yards,New York,NY,10001,,,,40.75462,-74.00231
32252,Evelyn,East 27th St btwn Fifth and Madison Ave,(212) 545-8000,7 East 27th Street,New York,NY,10016,Manhattan,Between 14th and 34th,,40.74395,-73.98697
49655,EVEN Hotel Brooklyn,,(718) 552-3800,46 Nevins Street,Brooklyn,NY,11217,Brooklyn,Brooklyn,IHG,40.68767,-73.9817
28654,EVEN Hotel New York Times Square South,,(212) 356-0034,321 West 35th Street,New York,NY,10001,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.75347,-73.99384
49656,EVEN Midtown East,,(212) 239-0002,221 East 44th Street,New York,NY,10017,Manhattan,Midtown East - Between 34th and 59th on East Side,IHG,40.75184,-73.97238
28607,Eventi,,(212) 564-4567,851 Ave of the Americas,New York,NY,10001,Manhattan,Between 14th and 34th,Kimpton,40.74721,-73.98992
28464,Excelsior,West 81 St btwn Central Park West and Columbus Ave,(212) 362-9200,45 West 81st Street,New York,NY,10024,Manhattan,Upper West Side - Above 59th on West Side,,40.78316,-73.97371
28436,Fairfield Inn &amp; Suites Albany Downtown,,(518) 434-7410,74 State Street,Albany,NY,12207,New York State Capital Region,Albany,Choice,42.64916,-73.75245
64387,Fairfield Inn &amp; Suites Brooklyn,,212-421-8900,181 Third Avenue,Brooklyn,NY,11217,,,,40.68059,-73.9836
28459,Fairfield Inn &amp; Suites Paramus,,(201) 262-6900,601 From Road,Paramus,NJ,7652,New Jersey,Northern New Jersey,InterContinental,40.96006,-74.06719
49659,Fairfield Inn &amp; Suites Parsippany,,(973) 263-0095,3535 US Hwy 46,Parsippany,NJ,7054,New Jersey,Northern New Jersey,,40.87495,-74.4385
28532,Fitzpatrick Grand Central,East 44th St btwn Lexington and Third Ave,(212) 351-6800,141 East 44th Street,New York,NY,10017,Manhattan,Midtown East - Between 34th and 59th on East Side,,40.7527,-73.97445
28537,Fitzpatrick Manhattan,Lexington Ave btw 56th and 57th St,(212) 355-0100,687 Lexington Avenue,New York,NY,10022,Manhattan,Midtown East - Between 34th and 59th on East Side,,40.76051,-73.96919
64376,Four Points by Sheraton Chelsea,West 25th St btwn Sixth and Seventh Ave,(212) 627-1888,160 West 25th Street,New York,NY,10001,,,,40.74498,-73.99423
28522,Four Seasons,East 57th St btwn Madison and Park Ave,(212) 758-5700,57 East 57th Street,New York,NY,10022,Manhattan,Midtown East - Between 34th and 59th on East Side,Four Seasons,40.76239,-73.97103
49663,Four Seasons New York Downtown,,(866) 920-5131,27 Barclay Street,New York,NY,10007,Manhattan,Below Canal,Four Seasons,40.71284,-74.00899
28474,Franklin,East 87th St btwn Lexington and Third Ave,(212) 369-1000,164 East 87th Street,New York,NY,10128,Manhattan,Upper East Side - Above 59th on East Side,Denihan,40.77974,-73.95451
49668,Freehand,Lexington Ave btwn East 23rd and 24th St,(212) 475-1925,23 Lexington Avenue,New York,NY,10010,Manhattan,Between 14th and 34th,,40.73977,-73.98429
28552,Gallivant Times Square,West 48th St btwn Seventh and Eighth Ave,(212) 246-8800,234 West 48th Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,Wyndham,40.76055,-73.98635
38766,Garden Inn &amp; Suites,Baisley Ave at 129 Ave,(718) 581-5380,151-20 Baisley Boulevard,Queens,NY,11434,Queens,JFK Airport,,40.66782,-73.78635
28434,Gideon Putnam,,(518) 226-4722,24 Gideon Putnam Road,Saratoga Springs,NY,12866,New York State Capital Region,Saratoga,,43.05713,-73.79807
49649,Gild Hall,Gold Street btwn Liberty and Platt St,(212) 232-7700,15 Gold Street,New York,NY,10038,Manhattan,Below Canal,,40.70788,-74.00713
28583,Gramercy Park,Lexington Ave btwn Gramercy Park North and East 22nd St,(212) 920-3300,2 Lexington Avenue,New York,NY,10010,Manhattan,Between 14th and 34th,,40.73864,-73.98573
28511,Grand Hyatt,Park Ave at Grand Central,(212) 883-1234,109 East 42nd Street,New York,NY,10017,Manhattan,Midtown East - Between 34th and 59th on East Side,Hyatt,40.75206,-73.9763
64382,Greenwich,Greenwich btwn Franklin and North Moore St,(212) 941-8900,377 Greenwich Street,New York,NY,10013,,,,40.71985,-74.00985
28601,Gregory,West 35th St btwn Fifth and Sixth Ave,(212) 947-0200,42 West 35th Street,New York,NY,10001,Manhattan,Midtown West - Between 34th and 59th on West Side,Choice,40.74978,-73.98604
64388,Hampton Inn Brookhaven,,(631) 732-7300,2000 North Ocean Avenue,Farmingville,NY,11738,,,Hilton,40.82448,-73.0218
28652,Hampton Inn Suites Mahwah,,(201) 828-2031,290 NJ-17,Mahwah,NJ,7430,New Jersey,Northern New Jersey,,41.08948,-74.15367
28496,Hampton Inn Times Square North,Eighth Avenue btwn West 51st and 52nd St,(212) 581-4100,851 Eighth Avenue,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,Hilton,40.76328,-73.98566
28455,Heldrich Hotel &amp; Conference Center,,(732) 729-4670,10 Livingston Avenue,New Brunswick,NJ,8901,New Jersey,Central New Jersey,,40.493,-74.44418
64404,High Line,Tenth Avenue between 20th Street/21st Street,(212) 929-3888,180 Tenth Avenue,New York,NY,10011,,,,40.74599,-74.00454
28429,Hilton Albany,,(518) 462-6611,40 Lodge Street,Albany,NY,12207,New York State Capital Region,Albany,Hilton,42.65076,-73.753
28446,Hilton East Brunswick,,(732) 828-2000,3 Tower Center Boulevard,East Brunswick,NJ,8816,New Jersey,Central New Jersey,Hilton,40.48004,-74.40878
28606,Hilton Fashion District,,(212) 858-5888,152 West 26th Street,New York,NY,10001,Manhattan,Between 14th and 34th,Hilton,40.74554,-73.99378
28605,Hilton Garden Inn 35th Street,,(212) 609-1030,63 West 35th Street,New York,NY,10001,Manhattan,Midtown West - Between 34th and 59th on West Side,Hilton,40.75041,-73.98647
28641,Hilton Garden Inn Chelsea,West 28th St btwn Sixth and Seventh Ave,(212) 564-2181,121 West 28th Street,New York,NY,10001,Manhattan,Between 14th and 34th,,40.74663,-73.99143
64402,Hilton Garden Inn Ridgefield Park,,(201) 641-2024,70 Challenger Rd,Ridgefield Park,NJ,7660,,,,40.85194,-74.01376
28495,Hilton Garden Inn Times Square,Eighth Ave btwn West 48th and 49th St,(212) 581-7000,790 Eighth Avenue,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,Hilton,40.76112,-73.98672
28656,Hilton Garden Inn Times Square Central,,(212) 840-9600,136 West 42nd Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,Hilton,40.75523,-73.98573
28449,Hilton Hasbrouck Heights,,(201) 288-6100,650 Terrace Avenue,Hasbrouck Heights,NJ,7604,New Jersey,Northern New Jersey,Hilton,40.87138,-74.06187
64375,Hilton JFK Airport,One hundred thirty fifth Ave btwn 143rd and 145 St,(718) 659-0200,14402 135th Avenue,Jamaica,NY,11436,,,,40.66746,-73.7957
28445,Hilton Meadowlands,,(201) 896-0500,2 Meadowlands Plaza,East Rutherford,NJ,7073,New Jersey,Northern New Jersey,,40.80515,-74.07875
49660,Hilton Newark Airport,,(908) 351-3900,1170 Spring Street,Elizabeth,NJ,7201,New Jersey,Northern New Jersey,,40.68732,-74.1939
28450,Hilton Short Hills,,(973) 379-0100,41 John F. Kennedy Parkway,Short Hills,NJ,7078,New Jersey,Northern New Jersey,Hilton,40.74294,-74.36648
28549,Hilton Times Square,West 42nd St btwn Seventh and Eighth Ave,(212) 840-8222,234 West 42nd Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,Hilton,40.75643,-73.98883
28428,Hilton Westchester,,(914) 939-6300,699 Westchester Avenue,Rye Brook,NY,10573,Westchester,Westchester,Hilton,41.00977,-73.68834
28435,Holiday Inn Express Albany Downtown,,(518) 434-4111,300 Broadway Avenue,Albany,NY,12207,New York State Capital Region,Albany,InterContinental,42.64546,-73.75029
28440,Holiday Inn LGA,114th St btwn 37th and 38th St,(718) 651-2100,37-10 114th Street,Queens,NY,11368,Queens,LaGuardia Airport,InterContinental,40.75453,-73.85418
28458,Holiday Inn Newark,,(973) 242-0900,450 US Hwy 1 &amp; 9,Newark,NJ,7114,New Jersey,Northern New Jersey,InterContinental,40.69908,-74.18784
28461,Holiday Inn Secaucus-Meadowlands,,(201) 348-2000,300 Plaza Drive,Secaucus,NJ,7094,New Jersey,Northern New Jersey,InterContinental,40.78657,-74.04424
28598,Hotel @ Fifth Avenue,West 32nd St btwn Broadway and Fifth Ave,(212) 736-1600,17 West 32nd Street,New York,NY,10001,Manhattan,Between 14th and 34th,La Quinta,40.74782,-73.98652
28556,Hotel at Times Square,West 56th St btwn fifth and sixth Ave,(212) 719-2300,59 West 46th Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.75719,-73.98125
28609,Hotel Manhattan Bridge,,(212) 925-1212,61-63 Chrystie Street,New York,NY,10002,Manhattan,Between Canal and 14th,Choice,40.71668,-73.99494
28484,Hudson,West 58th St btwn Seventh and Eighth Ave,(212) 554-6000,358 West 58th Street,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,Morgans,40.76821,-73.98466
28644,Hyatt Centric Times Square New York,,(646) 364-1234,135 West 45th Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.75753,-73.98406
57050,Hyatt Place Fair Lawn Paramus,,(201) 475-3888,4101 Broadway,Fair Lawn,NJ,7410,New Jersey,Northern New Jersey,Hyatt,40.9262,-74.09306
28638,Hyatt Regency Jersey City,,(201) 469-1234,2 Exchange Place,Jersey City,NJ,7302,New Jersey,Northern New Jersey,,40.71715,-74.03176
38768,Hyatt Regency Morristown,,(973) 898-9100,3 Speedwell Avenue,Morristown,NJ,7960,New Jersey,Northern New Jersey,Hyatt,40.79972,-74.48094
57051,Hyatt Regency New Brunswick,,(732) 873-1234,2 Albany St,New Brunswick,NJ,8901,New Jersey,Central New Jersey,Hyatt,40.4964,-74.44118
28578,Iberostar 70 Park Avenue,Park Avenue btwn East 38th and 39th streets,(212) 973-2466,70 Park Avenue,New York,NY,10016,Manhattan,Midtown East - Between 34th and 59th on East Side,Kimpton,40.74999,-73.97973
38765,Indigo LES,,(212) 237-1776,171 Ludlow Street,New York,NY,10002,Manhattan,Between Canal and 14th,IHG,40.72175,-73.98785
28570,Ink 48,,(212) 757-0088,653 Eleventh Avenue,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,Kimpton,40.76458,-73.99595
28518,InterContinental Barclay,East 48th St btwn Park and Lexington Ave,(212) 755-5900,111 East 48th Street,New York,NY,10017,Manhattan,Midtown East - Between 34th and 59th on East Side,InterContinental,40.75564,-73.9735
28571,InterContinental Times Square,,(212) 803-4500,300 West 44th Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,InterContinental,40.75866,-73.98954
28563,Iroquois,West 44th St btwn Fifth and Sixth Ave,(212) 840-3080,49 West 44th Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.75588,-73.98196
64403,JakeÕs 58 Hotel &amp; Casino,,(631) 232-3000,3635 Express Dr N,Islandia,NY,11749,,,,40.81049,-73.16603
28573,James NoMad,Madison Avenue btw East 28th and 29th Streets,(212) 532-4100,88 Madison Avenue,New York,NY,10016,Manhattan,Between 14th and 34th,Marriott,40.74444,-73.98578
28614,James SoHo,,(212) 465-2000,27 Grand Street,New York,NY,10013,Manhattan,Between Canal and 14th,Denihan,40.72271,-74.00475
64393,Jewel Facing Rockefeller Center,,(212) 863-0550,11 West 51 Street,New York,NY,10019,,,,40.75979,-73.97764
28576,Jolly Madison Towers,East 38th St btwn Madison and Park Ave,(212) 802-0600,22 East 38th Street,New York,NY,10016,Manhattan,Midtown East - Between 34th and 59th on East Side,,40.75003,-73.98095
28491,JW Marriott Essex House,Central Park South btwn Sixth and Seventh Ave,(212) 247-0300,160 Central Park South,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.76602,-73.97865
28634,Kew Motor Inn,Grand Central Pkwy btwn 141 St and Charter Rd,(718) 969-3000,13901 Grand Central Parkway,Queens,NY,11435,Queens,JFK Airport,,40.71701,-73.81858
28557,Kimpton Muse,West 46th St btwn Sixth and Seventh Ave,(212) 485-2400,130 West 46th Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,Kimpton,40.7578,-73.98379
28584,Kitano,Park Avenue btwn East 37th and East 38th St,(212) 885-7000,66 Park Avenue,New York,NY,10016,Manhattan,Midtown East - Between 34th and 59th on East Side,Preferred,40.74961,-73.97993
28646,Knickerbocker Hotel,,(212) 354-2988,1466 Broadway,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.75549,-73.98617
64400,La Quinta Inn &amp; Suites Clifton,,(973) 778-6500,265 Route 3 East,Clifton,NJ,7014,,,,40.8304,-74.1395
