undefinedid,name,crossStreets,phone,address,city,state,zip,location,sub_location,brand,lat,lng
57058,La Quinta Inn &amp; Suites Fairfield,,(973) 575-1742,38 Two Bridges Rd,Fairfield,NJ,7004,New Jersey,Northern New Jersey,,40.89289,-74.27178
49652,La Quinta Inn &amp; Suites Secaucus Meadowlands,,(201) 863-8700,350 Route 3 W,Secaucus,NJ,7094,New Jersey,Northern New Jersey,,40.7899,-74.0498
28632,Le Meridien Central Park,,(212) 830-8000,120 W. 57th Street,New York,NY,10019,Manhattan,Upper East Side - Above 59th on East Side,Viceroy,40.76452,-73.97846
28516,Lexington,Lexington Ave btwn Lexington and 48th St,(212) 755-4400,511 Lexington Avenue,New York,NY,10017,Manhattan,Midtown East - Between 34th and 59th on East Side,Marriott,40.75488,-73.97329
28603,Life Hotel,West 31st St btwn Fifth and Broadway,(212) 615-9900,19 West 31st Street,New York,NY,10001,Manhattan,Between 14th and 34th,,40.74723,-73.98698
28630,Loews Regency,Park Ave btwn East 61st and 62nd St,(212) 759-4100,540 Park Avenue,New York,NY,10065,Manhattan,Upper East Side - Above 59th on East Side,,40.76457,-73.96901
28535,Lombardy,East 56th St btwn Park and Lexington Ave,(212) 753-8600,111 East 56th Street,New York,NY,10022,Manhattan,Midtown East - Between 34th and 59th on East Side,Preferred,40.76077,-73.97053
64398,Long Island Marriott,,(516) 794-3800,101 James Doolittle Boulevard,Uniondale,NY,11553,,,,40.72339,-73.58757
28513,Lotte Palace,Madison btwn 50th and 51st,(212) 888-7000,455 Madison Avenue,New York,NY,10022,Manhattan,Midtown East - Between 34th and 59th on East Side,,40.75819,-73.97499
28473,Lowell,East 63rd St btwn Madison and Park Ave,(212) 838-1400,28 East 63rd Street,New York,NY,10065,Manhattan,Upper East Side - Above 59th on East Side,,40.7657,-73.96921
28463,Lucerne,West 79th St btwn Amsterdam Ave and Broadway,(212) 875-1000,201 West 79th Street,New York,NY,10024,Manhattan,Upper West Side - Above 59th on West Side,Empire,40.78343,-73.9785
28653,Ludlow,,(212) 432-1818,180 Ludlow Street,New York,NY,10002,Manhattan,Between Canal and 14th,,40.72186,-73.98721
28475,Mandarin Oriental,Columbus Circle at 60th St,(212) 805-8800,80 Columbus Circle,New York,NY,10023,Manhattan,Midtown West - Between 34th and 59th on West Side,Mandarin Oriental,40.76908,-73.98295
28487,Manhattan at Times Square,Seventh Ave btwn West 51st and 52nd St,(212) 581-3300,790 Seventh Avenue,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,Starwood,40.76208,-73.98285
28562,Mansfield,West 44th St btwn Fifth and Sixth Ave,(212) 944-6050,12 West 44th Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,Denihan,40.75508,-73.98106
64377,Maritime,West 16th St btwn West 16th and 17th St,212 242 4300,363 West 16th Street,New York,NY,10011,,,,40.74244,-74.00398
28468,Mark,East 77th St btwn Madison and Fifth Ave,(212) 744-4300,25 East 77th Street,New York,NY,10075,Manhattan,Upper East Side - Above 59th on East Side,Preferred,40.77527,-73.9634
64405,Marlton,,(212) 321-0100,5 West 8th Street,New York,NY,10011,,,,40.73265,-73.99681
28444,Marriott Brooklyn Bridge,Adams St btwn Johnson and Willouby St,(718) 246-7000,333 Adams Street,Brooklyn,NY,11201,Brooklyn,Brooklyn,Marriott,40.69363,-73.98809
28519,Marriott East Side,Lexington Ave btwn East 48th and 49th St,(212) 755-4000,525 Lexington Avenue,New York,NY,10017,Manhattan,Midtown East - Between 34th and 59th on East Side,Marriott,40.7554,-73.97263
49667,Marriott Westchester,,(914) 631-2200,670 White Plains Road,Tarrytown,NY,10591,Westchester,Westchester,,41.05918,-73.83253
28596,Martinique New York on Broadway,West 32nd St btwn Fifth and Broadway,(212) 736-3800,49 West 32nd Street,New York,NY,10001,Manhattan,Between 14th and 34th,Carlson,40.74827,-73.98786
28593,MAve,,(212) 532-7373,62 Madison Avenue,New York,NY,10016,Manhattan,Between 14th and 34th,,40.74357,-73.98626
28517,Maxwell Hotel,Lexington Ave btwn East 49th and 50th St,(212) 755-1200,541 Lexington Avenue,New York,NY,10022,Manhattan,Midtown East - Between 34th and 59th on East Side,Starwood,40.75614,-73.97207
28454,Meadowlands View,,(201) 348-3600,2750 Tonnelle Avenue,North Bergen,NJ,7047,New Jersey,Northern New Jersey,Wyndham,40.77401,-74.04088
28568,Mela,West 44th St btwn Broadway and Sixth Ave,(212) 710-7000,120 West 44th Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.75641,-73.98434
28503,Michelangelo,West 51st St btwn Sixth and Seventh Ave,(212) 765-1900,152 West 51st Street,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,Preferred,40.76146,-73.98259
28564,Midtown Convention Center,West 38th St btwn Tenth Ave and Amtrak RR,(212) 405-1700,522 West 38th Street,New York,NY,10018,Manhattan,Midtown West - Between 34th and 59th on West Side,Best Western,40.75746,-73.9986
28478,Milburn,West 76th St btwn Seventh and Eighth Ave,(212) 362-1006,242 West 76th Street,New York,NY,10023,Manhattan,Upper West Side - Above 59th on West Side,,40.78191,-73.98191
28544,Millennium Broadway,West 44th St btwn Sixth Ave and Broadway,(212) 768-4400,145 West 44th Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.75705,-73.98475
28615,Millennium Hilton,Church btwn Vesey and Fulton streets,(212) 693-2001,55 Church Street,New York,NY,10007,Manhattan,Below Canal,Hilton,40.71116,-74.01034
28520,Millennium Hilton One UN Plaza,United Nations Plaza btwn First and Second Ave,(212) 758-1234,1 United Nations Plaza,New York,NY,10017,Manhattan,Midtown East - Between 34th and 59th on East Side,,40.7504,-73.96905
28655,New York Edition,,(212) 413-4200,5 Madison Avenue,New York,NY,10010,Manhattan,Between 14th and 34th,Marriott,40.74128,-73.98737
28481,New York Hilton,Sixth Ave btwn 53rd and 54th,(212) 586-7000,1335 Avenue of the Americas,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,Hilton,40.76229,-73.97979
28566,Night Hotel by SB at Times Square,West 45th St btwn Sixth and Seventh Ave,(212) 835-9600,132 West 45th Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,Wyndham,40.7572,-73.98443
28613,NoMo SoHo,,(212) 389-1000,9 Crosby Street,New York,NY,10013,Manhattan,Between Canal and 14th,Morgans,40.7198,-74.00004
28493,Novotel,West 52nd btwn West 51st and 52nd St,(212) 315-0100,226 West 52nd Street,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,Accor,40.76268,-73.9837
28565,NYCASA 46,West 46th St btwn Sixth and Seventh Ave,(212) 221-2600,129 West 46th Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.75812,-73.98344
28599,Nyma,West 32nd St btwn Broadway and Fifth Ave,(212) 643-7100,6 West 32nd Street,New York,NY,10001,Manhattan,Between 14th and 34th,,40.74722,-73.98639
64396,NYRA,,(718) 641-4700,11000 Rockaway Blvd.,Jamaica,NY,11420,,,,40.67168,-73.83345
28521,Omni Berkshire Place,East 52nd St btwn Madison and Fifth Ave,(212) 753-5800,21 East 52nd Street,New York,NY,10022,Manhattan,Midtown East - Between 34th and 59th on East Side,Omni,40.75939,-73.97491
28560,OYO Times Square,West 47th St btwn Sixth and Seventh Ave,(212) 768-3700,157 West 47th Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,Wyndham,40.75913,-73.98377
28546,Paramount,West 46th St btwn Broadway and Eighth Ave,(212) 764-5500,235 West 46th Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.75963,-73.98731
28483,Park Central,Seventh Ave btwn 56th and 57th,(212) 247-8000,870 Seventh Avenue,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.76469,-73.98122
28645,Park Hyatt,,(646) 774-1234,153 W 57th Street,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,Hyatt,40.76553,-73.97901
28489,Park Lane,Central Park South btwn Grand Army Plaza and Sixth Ave,(212) 371-4000,36 Central Park South,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,Preferred,40.76462,-73.97534
28650,Park South,East 28th St btwn Park Avenue South and Lexington Ave,(212) 448-0888,124 East 28th Street,New York,NY,10016,Manhattan,Between 14th and 34th,,40.74279,-73.98306
28486,Parker New York,West 57th btwn Sixth and Seventh Ave,(212) 245-5000,119 West 56th Street,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,Starwood,40.76419,-73.9785
28636,Pearl,,(800) 801-3457,233 West 49th Street,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.76144,-73.98553
28498,Peninsula,Fifth Ave btwn East 54th and 55th St,(212) 956-2888,700 Fifth Avenue,New York,NY,10019,Manhattan,Midtown East - Between 34th and 59th on East Side,Peninsula,40.76162,-73.97547
28594,Pennsylvania,Seventh Ave btwn 32nd and 33rd,(212) 736-5000,401 Seventh Avenue,New York,NY,10001,Manhattan,Between 14th and 34th,,40.7499,-73.99104
28466,Pierre,East 61st St btwn Fifth and Madison Ave,(212) 838-8000,2 East 61st Street,New York,NY,10065,Manhattan,Upper East Side - Above 59th on East Side,,40.76518,-73.97189
28508,Plaza,Fifth Ave btwn West 58th and 59th St,(212) 759-3000,768 Fifth Avenue,New York,NY,10019,Manhattan,Midtown East - Between 34th and 59th on East Side,,40.76461,-73.97435
28469,Plaza Athenee,East 64th St btwn Madison and Park Ave,(212) 734-9100,37 East 64th Street,New York,NY,10065,Manhattan,Upper East Side - Above 59th on East Side,,40.7666,-73.96834
28637,Pod 39,,(212) 865-5700,145 East 39th Street,New York,NY,10016,Manhattan,Midtown East - Between 34th and 59th on East Side,,40.74936,-73.97654
28523,Pod 51,East 51st St btwn Second and Third Avenue,(212) 355-0300,230 East 51st Street,New York,NY,10022,Manhattan,Midtown East - Between 34th and 59th on East Side,,40.7557,-73.96916
64419,Pod Times Square,,(855) 763-7666,400 West 42nd Street,New York,NY,10036,,,,40.7584,-73.99308
64415,PUBLIC Hotel,,,215 Chrystie Street,New York,NY,10002,,,,40.72311,-73.99209
28623,Quin Central Park by Hilton Club,West 57th St btwn Sixth and Seventh Ave,(212) 245-7846,101 West 57th Street,New York,NY,10019,Manhattan,Midtown East - Between 34th and 59th on East Side,,40.76464,-73.97724
28443,Radisson JFK,140th St at One hundred thirty fifth Ave,(718) 322-2300,13530 140th Street,Queens,NY,11436,Queens,JFK Airport,Carlson,40.66732,-73.79848
64385,Radisson Wall Street,,(212) 269-6400,52 William Street,New York,NY,10005,,,,40.70671,-74.00892
28432,Ramada Plaza Albany,,(518) 438-8431,3 Watervliet Avenue Ext.,Albany,NY,12206,New York State Capital Region,Albany,Wyndham,42.6805,-73.78324
28574,Redbury,East 30th St btwn Madison Ave and Park Ave South,(212) 689-1900,29 East 29th Street,New York,NY,10016,Manhattan,Between 14th and 34th,,40.7426,-73.9804
28524,Renaissance 57,East 57th St btwn Park and Lexington Ave,(212) 753-8841,130 East 57th Street,New York,NY,10022,Manhattan,Midtown East - Between 34th and 59th on East Side,Marriott,40.7608,-73.96942
49664,Renaissance Albany,,(518) 992-2500,144 State Street,Albany,NY,12207,New York State Capital Region,Albany,Marriott,42.65087,-73.75551
64401,Renaissance Newark Airport,,(908) 436-4600,1000 Spring St,Elizabeth,NJ,7201,,,,40.68357,-74.19418
28554,Renaissance Times Square,Seventh Ave btwn 47th and 48th St,(212) 765-7676,714 Seventh Avenue,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,Marriott,40.75962,-73.98468
28628,Renaissance Westchester,,(914) 694-5400,80 West Red Oak Lane,White Plains,NY,10604,Westchester,Westchester,Marriott,41.01718,-73.7178
28585,Renwick,East 40th St btwn Lexington and Park Ave,(212) 697-4800,118 East 40th Street,New York,NY,10016,Manhattan,Midtown East - Between 34th and 59th on East Side,,40.75019,-73.97754
57053,Residence Inn Manhattan/World Trade Center,,(212) 600-8900,170 Broadway,New York,NY,10007,Manhattan,Below Canal,Marriott,40.70957,-74.00973
49650,Residence Inn Newark Elizabeth Liberty Inter,,(908) 352-4300,83 Glimcher Realty Way,Elizabeth,NJ,7201,New Jersey,Northern New Jersey,,40.66334,-74.17785
28551,Residence Inn Times Square,Sixth Ave btwn 38th and 39th St,(212) 768-0007,1033 Avenue of the Americas,New York,NY,10018,Manhattan,Midtown West - Between 34th and 59th on West Side,Marriott,40.75286,-73.986
64427,Residence Inn Weehawken,,,100 Ferry Way,Weehawken,NJ,7086,,,,40.77541,-74.01114
49669,Residence Inn White Plains Westchester County,,(914) 761-7700,5 Barker Avenue,White Plains,NY,10601,Westchester,Westchester,,41.03529,-73.77009
64395,Resorts World Casino NYC,,(718) 215-2828,11000 Rockaway Boulevard,Jamaica,NY,11420,,,,40.67168,-73.83345
64413,Resorts World Catskills,,(833) 586-9358,888 Resorts World Drive,Monticello,NY,12701,,,,41.65883,-74.64919
28497,Ritz-Carlton Central Park,Central Park South btwn Grand Army Plaza and Sixth Ave,(212) 308-9100,50 Central Park South,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,Marriott,40.76533,-73.97609
28621,Ritz-Carlton Westchester,,(914) 946-5500,3 Renaissance Square,White Plains,NY,10601,Westchester,Westchester,Marriott,41.03295,-73.76737
64412,Rivers Casino &amp; Resort Schenectady,,(518) 579-8800,1 Rush Street,Schenectady,NY,12305,,,,42.82399,-73.93516
28581,Roger,Madison at Fifth Ave,(212) 448-7000,131 Madison Avenue,New York,NY,10016,Manhattan,Between 14th and 34th,,40.74561,-73.98414
28534,Roger Smith,Lexington Ave btwn East 47th and 48th St,(212) 755-1400,501 Lexington Avenue,New York,NY,10017,Manhattan,Midtown East - Between 34th and 59th on East Side,,40.75469,-73.97342
28512,Roosevelt,East 45th St btwn Madison and Vanderbilt,(212) 661-9600,45 East 45th Street,New York,NY,10017,Manhattan,Midtown East - Between 34th and 59th on East Side,,40.75338,-73.97467
28541,Row NYC,West 45th St btwn Seventh and Eighth Avenues,(212) 869-3600,700 Eighth Avenue,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.75871,-73.98828
28558,Royalton,West 44th St btwn Fifth and Sixth Ave,(212) 869-4400,44 West 44th Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,Morgans,40.75895,-73.98983
57055,Royalton Park Avenue,Located on the corner of 29th St. and Park Ave. South,212-317-2900,420 Park Avenue South,New York,NY,10016,Manhattan,Between 14th and 34th,,40.74392,-73.9842
28533,San Carlos,East 50th St btwn Lexington and Third Ave,(212) 755-1800,150 East 50th Street,New York,NY,10022,Manhattan,Midtown East - Between 34th and 59th on East Side,,40.75591,-73.97157
28561,Sanctuary,West 47th St btwn Sixth and Seventh Ave,(212) 382-0600,132 West 47th Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.75841,-73.98331
38771,Saratoga Casino Hotel,,(518) 584-2110,342 Jefferson Street,Saratoga Springs,NY,12866,New York State Capital Region,Saratoga,,43.06185,-73.775
28431,Saratoga Hilton,,(518) 584-4000,534 Broadway,Saratoga Springs,NY,12866,New York State Capital Region,Saratoga,Hilton,43.08563,-73.78332
28452,Sheraton Edison Raritan Center,,(732) 225-8300,125 Raritan Center Parkway,Edison,NJ,8837,New Jersey,Central New Jersey,Starwood,40.51933,-74.34088
28456,Sheraton Mahwah,,(800) 398-1943,"1 International Boulevard,  Route 17 North,  Suite 100",Mahwah,NJ,7495,New Jersey,Northern New Jersey,Starwood,41.10452,-74.16055
28482,Sheraton New York Times Square,Seventh Ave btwn 52nd and 53rd,(212) 581-1000,811 Seventh Avenue,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,Starwood,40.7625,-73.98126
28624,Sheraton Parsippany,,(973) 515-2000,199 Smith Road,Parsippany,NJ,7054,New Jersey,Northern New Jersey,Starwood,40.86198,-74.41244
28448,Sheraton Suites at Lincoln Harbor,,(201) 617-5600,500 Harbor Boulevard,Weehawken,NJ,7086,New Jersey,Northern New Jersey,Starwood,40.75883,-74.02372
28538,Sherry Netherland,Fifth Ave btwn East 59th and 60th St,(212) 355-2800,781 Fifth Avenue,New York,NY,10022,Manhattan,Upper East Side - Above 59th on East Side,Preferred,40.76432,-73.97252
28504,Shoreham,West 55th St btw Fifth and Sixth Avenues,(212) 247-6700,33 West 55th Street,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,Denihan,40.76251,-73.97637
64428,Sister City,,(646) 343-4500,225 Bowery,New York,NY,10002,,,,40.72186,-73.99278
28499,Skyline,Tenth Avenue btwn West 49th and 50th St,(212) 586-3400,725 Tenth Avenue,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.76439,-73.99223
28550,Sofitel,West 44th St btwn Fifth and Sixth Ave,(212) 354-8844,45 West 44th Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,Accor,40.75601,-73.98158
64383,Soho 54,Watts street btwn Sixth Avenue and Varick Street,(212) 226-6288,54 Watts Street,New York,NY,10013,,,,40.72388,-74.00525
64397,Sonesta ES Suites Parsippany,,(973) 334-2907,61 Interpace Pkway,Parsippany,NJ,7054,,,,40.8686,-74.44061
64391,SpringHill Suites Brookhaven,,(631) 924-0090,2 Sawgrass Drive,Bellport,NY,11713,,,,40.80869,-72.94878
28639,Springhill Suites Midtown,,(212) 391-2225,25 West 37th St,New York,NY,10018,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.75123,-73.98468
28640,Springhill Suites Newark Liberty International Airport,,(973) 624-5300,652 US Hwy 1,Newark,NJ,7114,New Jersey,Northern New Jersey,,40.70941,-74.16996
28526,St. Regis,East 55th St btwn Fifth and Madison Ave,(212) 753-4500,2 East 55th Street,New York,NY,10022,Manhattan,Midtown East - Between 34th and 59th on East Side,Starwood,40.7614,-73.97461
28602,Stanford,West 32nd St btwn Broadway and Fifth Ave,(212) 563-1480,43 West 32nd Street,New York,NY,10001,Manhattan,Between 14th and 34th,,40.7482,-73.98746
28597,Stewart Hotel,Seventh Ave btwn West 30th and West 31st St,(212) 563-1800,371 Seventh Avenue,New York,NY,10001,Manhattan,Between 14th and 34th,Denihan,40.74881,-73.99198
28470,Surrey,East 76th St btwn Fifth and Madison Ave,(212) 288-3700,20 East 76th Street,New York,NY,10021,Manhattan,Upper East Side - Above 59th on East Side,Denihan,40.77449,-73.9641
28590,The Hotel @ New York City,Lexington Ave btwn East 30th and 31st Street,(212) 545-1800,161 Lexington Avenue,New York,NY,10016,Manhattan,Between 14th and 34th,Wyndham,40.7439,-73.9812
28586,The Tuscany,East 39th St btwn Park and Lexington Ave,(212) 686-1600,120 East 39th Street,New York,NY,10016,Manhattan,Midtown East - Between 34th and 59th on East Side,,40.74962,-73.97826
28502,Time,West 49th St btwn Broadway and Eighth Ave,(212) 246-5252,224 West 49th Street,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,Preferred,40.76098,-73.98551
64426,Times Square Edition,,(212) 398-7017,20 Times Square,New York,NY,10036,,,,40.75915,-73.98416
28559,Travel Inn,West 42nd Street btwn Tenth and Eleventh Ave,(212) 695-7171,515 West 42nd Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.7603,-73.996
28477,Trump International Hotel &amp; Tower,Central Park West btwn Columbus Circle and West 61st St,(212) 299-1000,1 Central Park West,New York,NY,10023,Manhattan,Upper West Side - Above 59th on West Side,Preferred,40.76903,-73.98163
49666,TRYP Times Square South,,(212) 600-2440,345 West 35th Street,New York,NY,10001,Manhattan,Midtown West - Between 34th and 59th on West Side,Melia,40.75378,-73.99462
64430,TWA,"At JFK Airport, Terminal 5",,"Terminal 5, JFK Airport",Jamaica,NY,11430,,,,40.64581,-73.77529
28619,W Downtown,,(646) 826-8600,8 Albany St,New York,NY,10006,Manhattan,Below Canal,Starwood,40.7092,-74.01369
57057,W Hoboken,,(201) 253-2400,225 River Street,Hoboken,NJ,7030,New Jersey,Northern New Jersey,,40.73931,-74.02791
28547,W Times Square,Broadway at Eighth Ave,(212) 930-7400,1567 Broadway,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,Starwood,40.75941,-73.98566
28608,W Union Square,Park Street btwn East 17th and 18th St,(212) 253-9119,201 Park Avenue South,New York,NY,10003,Manhattan,Between 14th and 34th,Starwood,40.73661,-73.98854
28617,Wagner,West St at 1st Place,(212) 344-0800,2 West Street,New York,NY,10004,Manhattan,Below Canal,Marriott,40.70565,-74.01746
28510,Waldorf=Astoria,Park Ave btwn 49th and 50th,(212) 355-3000,301 Park Avenue,New York,NY,10022,Manhattan,Midtown East - Between 34th and 59th on East Side,Hilton,40.75675,-73.97385
28494,Warwick,West 54th St btwn Fifth and Sixth Ave,(212) 247-2700,65 West 54th Street,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.7624,-73.97827
28505,Washington Jefferson,West 51st Ave btwn Eighth and Ninth Ave,(212) 246-7550,318 West 51st Street,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.76325,-73.98698
28600,Washington Square,Waverly Pl btwn Sixth Ave and Macdougal,(212) 777-9515,103 Waverly Place,New York,NY,10011,Manhattan,Between Canal and 14th,,40.73246,-73.99873
28490,Watson,West 57th St btwn Ninth and Tenth Ave,(212) 581-8100,440 West 57th Street,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,InterContinental,40.76843,-73.98746
28488,Wellington,Seventh Ave btwn west 55th and 56th St,(212) 247-3900,871 Seventh Avenue,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.76448,-73.98055
28525,Westgate New York City,East 42nd St btwn Second Avenue and Tudor City Place,(212) 986-8800,304 East 42nd Street,New York,NY,10017,Manhattan,Midtown East - Between 34th and 59th on East Side,Hilton,40.74943,-73.97197
28627,WestHouse Hotel,,(212) 707-4888,201 W 55th Street,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.76451,-73.98142
28457,Westin Governor Morris,,(973) 539-7300,2 Whippany Road,Morristown,NJ,7960,New Jersey,Northern New Jersey,Starwood,40.79757,-74.4587
28514,Westin Grand Central,East 42nd St btwn Second and Third Ave,(212) 490-8900,212 East 42nd Street,New York,NY,10017,Manhattan,Midtown East - Between 34th and 59th on East Side,Starwood,40.75035,-73.97389
49662,Westin Jersey City Newport,,(201) 626-2900,479 Washington Boulevard,Jersey City,NJ,7310,New Jersey,Northern New Jersey,,40.72492,-74.03621
28542,Westin Times Square,West 43rd St. btwn Seventh and Eighth Ave,(212) 201-2700,270 West 43rd Street,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,Starwood,40.75769,-73.9891
28604,Wingate Inn Midtown,West 35th St btwn Seventh and Eighth Ave,(212) 967-7500,235 West 35th Street,New York,NY,10001,Manhattan,Midtown West - Between 34th and 59th on West Side,Wyndham,40.75236,-73.99129
28447,Wyndham Garden Newark Airport,,(973) 824-4000,550 US Hwy 9/ Rt. 1 &amp; 9 South,Newark,NJ,7114,New Jersey,Northern New Jersey,Wyndham,40.70358,-74.18574
28651,Wyndham Hamilton Park Hotel and Conference Center,,(973) 377-2424,175 Park Ave,Florham Park,NJ,7932,New Jersey,Northern New Jersey,JW Marriot,40.77976,-74.43051
28595,Wyndham New Yorker,Eighth Ave btwn West 34th and 35th St,(212) 971-0101,481 Eighth Avenue,New York,NY,10001,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.75267,-73.99356
28572,Yotel Times Square,Address is on the right when facing from West 41 St. to West 42 St.,(646) 449-7700,570 Tenth Avenue,New York,NY,10036,Manhattan,Midtown West - Between 34th and 59th on West Side,,40.75916,-73.99546
